day,time,agent_id,feed_items,relational_items,personalized_items,headline_items,stance_score,toxicity_score,misinformation_risk,cross_viewpoint_exposure,intervention_reward
1,07:36,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,09:43,7,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
1,10:51,7,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
1,11:06,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,14:37,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,19:13,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,20:20,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,23:59,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,07:34,7,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
2,09:59,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,10:14,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,12:52,7,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
2,13:08,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,19:22,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,20:31,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,23:17,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,07:39,7,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
3,08:59,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,10:29,7,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
3,11:32,7,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
3,14:38,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,18:17,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,20:21,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,23:47,7,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
