metric,baseline_final,event_final,delta_final,baseline_mean,event_mean,delta_mean
mobility_intent,0.0,0.3367721709501239,0.3367721709501239,0.48240630430872433,0.4892227494796446,0.006816445170920282
platform_dependence,0.1126017061874063,0.3186422627450039,0.20604055655759762,0.25430983669137364,0.38058076306856764,0.126270926377194
city_identity,0.0,0.020667347514025,0.020667347514025,0.24539319965580575,0.12875643147316174,-0.11663676818264401
hunger,0.9913723674090554,1.0,0.008627632590944567,0.8211000715487159,0.8226390192151699,0.0015389476664540158
energy,0.994484443314395,1.0,0.005515556685604994,0.8680171450827783,0.8531430945005928,-0.014874050582185494
econ_security,0.0,0.0,0.0,0.05659771813894937,0.0700933375003482,0.013495619361398828
emotion,0.0,0.0,0.0,0.02168174787137402,0.02278685203804069,0.0011051041666666692
policy_sensitivity,0.0,0.0,0.0,0.1083627248006654,0.1162209904202291,0.007858265619563695
risk_preference,0.0,0.0,0.0,0.020211026277850336,0.023361946499170755,0.0031509202213204184
social_need,1.0,1.0,0.0,0.8546352007508203,0.8594287825697559,0.004793581818935522
stress,1.0,1.0,0.0,0.9895609548771923,0.9408501455002213,-0.04871080937697103
voice_propensity,0.0,0.0,0.0,0.010938083163786921,0.010526114039620255,-0.0004119691241666664
