agent_id,step,metric,value
1,0,emotion,0.35065299894360946
1,1,emotion,0.16970894996936717
1,2,emotion,0.0
1,3,emotion,0.0
1,4,emotion,0.0
1,5,emotion,0.0
1,6,emotion,0.0
1,7,emotion,0.0
1,8,emotion,0.0
1,9,emotion,0.0
1,10,emotion,0.0
1,11,emotion,0.0
1,12,emotion,0.0
1,13,emotion,0.0
1,14,emotion,0.0
1,15,emotion,0.0
1,16,emotion,0.0
1,17,emotion,0.0
1,18,emotion,0.0
1,19,emotion,0.0
1,20,emotion,0.0
1,21,emotion,0.0
1,22,emotion,0.0
1,23,emotion,0.0
1,0,stress,0.8389759910480828
1,1,stress,0.9104869260045314
1,2,stress,1.0
1,3,stress,1.0
1,4,stress,1.0
1,5,stress,1.0
1,6,stress,1.0
1,7,stress,1.0
1,8,stress,1.0
1,9,stress,1.0
1,10,stress,1.0
1,11,stress,1.0
1,12,stress,1.0
1,13,stress,1.0
1,14,stress,1.0
1,15,stress,1.0
1,16,stress,1.0
1,17,stress,1.0
1,18,stress,1.0
1,19,stress,1.0
1,20,stress,1.0
1,21,stress,1.0
1,22,stress,1.0
1,23,stress,1.0
1,0,econ_security,0.39719279679897324
1,1,econ_security,0.24704599600234634
1,2,econ_security,0.15764753518535354
1,3,econ_security,0.146803950168333
1,4,econ_security,0.0992825561260792
1,5,econ_security,0.12015665560848782
1,6,econ_security,0.11673012692914067
1,7,econ_security,0.028606501375899217
1,8,econ_security,0.0
1,9,econ_security,0.0
1,10,econ_security,0.014132778947790425
1,11,econ_security,0.0
1,12,econ_security,0.0
1,13,econ_security,0.013876501498661082
1,14,econ_security,0.0
1,15,econ_security,0.0
1,16,econ_security,0.0
1,17,econ_security,0.0
1,18,econ_security,0.0
1,19,econ_security,0.01686983669372075
1,20,econ_security,0.0
1,21,econ_security,0.0
1,22,econ_security,0.0
1,23,econ_security,0.0
1,0,city_identity,0.46108340413292154
1,1,city_identity,0.46822488182824473
1,2,city_identity,0.4234052418497916
1,3,city_identity,0.3916344235957255
1,4,city_identity,0.37254605702486754
1,5,city_identity,0.3961496216476851
1,6,city_identity,0.3738555027291887
1,7,city_identity,0.33117663883401627
1,8,city_identity,0.31270207494066393
1,9,city_identity,0.28077333366252
1,10,city_identity,0.2566702121604628
1,11,city_identity,0.2744685491730419
1,12,city_identity,0.2534017127293392
1,13,city_identity,0.2209374783135025
