metric,baseline_final,event_final,delta_final,baseline_mean,event_mean,delta_mean
mobility_intent,0.3876123367081437,0.06703060495115,-0.3205817317569937,0.41145394529827645,0.20393357224100872,-0.20752037305726773
energy,0.8375357077570101,0.9575357077570102,0.1200000000000001,0.7185762838027011,0.7985762838027012,0.08000000000000007
platform_dependence,0.2366757914779,0.2557534633179609,0.0190776718400609,0.302534787127569,0.28913823219075446,-0.01339655493681452
policy_sensitivity,0.016248640330502,0.0113684144276558,-0.004880225902846199,0.10450351468500656,0.07851783102958193,-0.025985683655424627
city_identity,0.0,0.0,0.0,0.23070729537462856,0.2845091330960245,0.053801837721395934
econ_security,0.0,0.0,0.0,0.06216681444505969,0.07651377264305513,0.01434695819799544
emotion,0.0,0.0,0.0,0.021915081204707355,0.022495185371374026,0.0005801041666666715
hunger,1.0,1.0,0.0,0.8198415405081162,0.8198415405081162,0.0
risk_preference,0.0,0.0,0.0,0.014347455681472025,0.016190202348138685,0.0018427466666666604
social_need,1.0,1.0,0.0,0.8579409357909271,0.8579409357909271,0.0
stress,1.0,1.0,0.0,0.9877489309087691,0.9802283263417758,-0.0075206045669933275
voice_propensity,0.0,0.0,0.0,0.010098556497120255,0.013620889495618724,0.0035223329984984692
