day,agent_id,income,expense,net,balance,wealth_drive,hourly_income,econ_security
108,43,270.7236,283.3799,-12.6562,48121.0652,0.61,66.6035,0.7548
109,43,219.9418,265.9149,-45.973,48075.0921,0.61,58.3511,0.7986
110,43,262.9075,284.266,-21.3585,48053.7337,0.61,62.2115,0.8012
111,43,282.7698,267.1533,15.6166,48069.3502,0.61,57.7342,0.7951
112,43,284.0873,246.6952,37.3922,48106.7424,0.61,66.7208,0.8098
113,43,273.9918,273.9518,0.04,48106.7824,0.61,52.0941,0.8081
114,43,250.4906,258.5663,-8.0757,48098.7067,0.61,52.371,0.7969
115,43,229.1325,240.408,-11.2755,48087.4312,0.61,58.8259,0.7962
116,43,316.9294,258.2591,58.6703,48146.1015,0.61,76.113,0.8196
117,43,290.1828,237.382,52.8008,48198.9023,0.61,66.2177,0.8033
118,43,313.0739,328.598,-15.5241,48183.3782,0.61,64.9743,0.7959
119,43,435.6462,293.2071,142.4391,48325.8174,0.61,67.5085,0.8032
120,43,217.2597,265.0389,-47.7793,48278.0381,0.61,52.121,0.8002
121,43,313.0104,255.1011,57.9094,48335.9474,0.61,71.2114,0.7987
122,43,341.006,231.3196,109.6863,48445.6338,0.61,74.8544,0.8054
123,43,323.5879,295.9768,27.6111,48473.2449,0.61,67.5679,0.8089
124,43,267.0277,320.2261,-53.1985,48420.0465,0.61,56.6984,0.8203
125,43,259.0968,315.3158,-56.2189,48363.8275,0.61,55.8502,0.8078
126,43,368.3676,279.5516,88.816,48452.6435,0.61,74.6543,0.7927
127,43,219.1927,289.672,-70.4793,48382.1642,0.61,71.3563,0.7916
128,43,273.0563,295.6447,-22.5884,48359.5758,0.61,54.7472,0.8081
129,43,182.5159,272.9088,-90.3929,48269.1829,0.61,59.1385,0.8145
130,43,265.1786,272.8017,-7.6231,48261.5599,0.61,61.4788,0.8253
131,43,339.992,279.346,60.646,48322.2059,0.61,71.0657,0.8109
132,43,273.414,254.1583,19.2558,48341.4616,0.61,73.2819,0.8052
133,43,269.3621,245.8132,23.5489,48365.0106,0.61,70.6468,0.8054
134,43,282.6635,234.9159,47.7476,48412.7582,0.61,75.0668,0.7997
135,43,344.8396,283.4151,61.4245,48474.1827,0.61,71.0646,0.797
136,43,290.2897,265.2359,25.0537,48499.2364,0.61,64.8486,0.797
137,43,301.8031,284.032,17.7711,48517.0075,0.61,60.2223,0.7982
138,43,268.6649,238.3706,30.2944,48547.3019,0.61,76.0009,0.8035
139,43,300.0382,282.7338,17.3043,48564.6062,0.61,70.9843,0.8135
140,43,250.6889,267.2037,-16.5148,48548.0914,0.61,60.9204,0.7982
141,43,247.0712,295.6001,-48.5289,48499.5625,0.61,61.6808,0.8037
142,43,275.8217,251.7905,24.0311,48523.5937,0.61,55.7395,0.7862
143,43,322.0149,254.1121,67.9028,48591.4964,0.61,63.4267,0.8036
144,43,339.3677,275.2235,64.1442,48655.6406,0.61,73.1659,0.7911
145,43,378.9869,264.3977,114.5891,48770.2298,0.61,71.1944,0.7975
146,43,298.7499,259.4565,39.2934,48809.5232,0.61,71.9105,0.8047
147,43,342.4423,278.5437,63.8987,48873.4218,0.61,67.1639,0.7962
148,43,308.5922,312.5354,-3.9432,48869.4787,0.61,66.8279,0.7954
149,43,424.8045,261.6789,163.1256,49032.6043,0.61,66.9366,0.8119
150,43,279.6611,286.3936,-6.7325,49025.8717,0.61,70.6755,0.7974
151,43,168.5817,284.4479,-115.8661,48910.0056,0.61,64.886,0.8178
152,43,197.5114,321.7259,-124.2145,48785.7911,0.61,54.9715,0.817
153,43,390.7637,186.7386,204.0251,48989.8162,0.61,73.7985,0.8069
154,43,218.0035,308.0476,-90.0441,48899.7721,0.61,58.955,0.7952
155,43,245.3212,282.0309,-36.7096,48863.0624,0.61,75.8679,0.8029
156,43,242.1379,272.4277,-30.2898,48832.7726,0.61,59.5685,0.8096
157,43,307.824,293.4765,14.3475,48847.1202,0.61,65.8814,0.8061
